dataCrtYmd,stdgCtpvSggCd,stdgEmdCd,roadNmNo,udgdYn,bmno,bsno,mvmnSn,ctpvNm,sggNm,umdNm,roadNm,chgBfrStdgCtpvSggCd,chgBfrStdgEmdCd,chgBfrRoadNmNo,chgBfrUdgdYn,chgBfrBmno,chgBfrBsno,chgBfrCtpvNm,chgBfrSggNm,chgBfrUmdNm,chgBfrRoadNm,chgRsnCd,updtSeCd,chgRsn
20220208,28177,104,3150038,0,181,1,1,인천광역시,미추홀구,도화동,염전로,28177,104,3150038,0,181,0,인천광역시,미추홀구,도화동,염전로,35,C,
20220208,28177,104,3150038,0,183,0,1,인천광역시,미추홀구,도화동,염전로,28177,104,3150038,0,181,0,인천광역시,미추홀구,도화동,염전로,35,C,
20220208,28177,104,3150038,0,185,0,1,인천광역시,미추홀구,도화동,염전로,28177,104,3150038,0,181,0,인천광역시,미추홀구,도화동,염전로,35,C,
20220209,28710,330,4271681,0,60,28,1,인천광역시,강화군,길상면,해안남로352번길,28710,330,4271681,0,60,37,인천광역시,강화군,길상면,해안남로352번길,34,U,
20220309,28200,108,3153006,0,88,1,1,인천광역시,남동구,수산동,구수골로,28200,108,3153006,0,88,0,인천광역시,남동구,수산동,구수골로,34,U,건물번호 부번 재설정
20220323,28110,127,2008001,0,463,0,1,인천광역시,중구,신흥동2가,서해대로,28110,127,4247142,0,3,0,인천광역시,중구,신흥동2가,서해대로463번길,34,U,건물 증축 변경
20220324,28720,360,4274179,0,116,0,1,인천광역시,옹진군,영흥면,영흥로722번길,28720,360,4274179,0,112,0,인천광역시,옹진군,영흥면,영흥로722번길,35,C,
20220328,28260,114,4268671,0,37,1,1,인천광역시,서구,당하동,청마로148번길,28260,114,4268671,0,37,0,인천광역시,서구,당하동,청마로148번길,35,C,
20220329,28200,111,4259117,0,54,0,1,인천광역시,남동구,고잔동,남동대로155번길,28200,111,4259117,0,56,0,인천광역시,남동구,고잔동,남동대로155번길,35,C,
20220401,28177,104,4253388,0,103,0,1,인천광역시,미추홀구,도화동,송림로307번길,28177,104,4253388,0,99,0,인천광역시,미추홀구,도화동,송림로307번길,35,C,
20220407,28245,122,4853763,0,14,0,1,인천광역시,계양구,다남동,역골로119번길,28245,122,4265120,0,21,13,인천광역시,계양구,다남동,다남로101번길,34,U,주출입구 변경
20220415,28237,102,3154072,0,132,0,1,인천광역시,부평구,십정동,열우물로,28237,102,3154032,0,96,0,인천광역시,부평구,십정동,상정로,34,U,도로구간 축소에 따른 도로명주소 변경변경
